Name,Location,Location_name,Year,Kilometers_Driven,Fuel_Type,Fuel_Type_name,Transmission,Transmission_name,Owner_Type,Owner_Type_name,Mileage,Engine,Power,Seats,Price
Audi A4 2.0 TDI 177 Premium Plus,7,Kochi,2015,13648,2,Diesel,1,Automatic,1,First,17.11,1968,174.33,5,21.43
Maruti Swift LDI,8,Delhi,2014,52000,2,Diesel,2,Manual,1,First,22.9,1248,74,5,4.25
Maruti Swift Ldi BSIV,11,Kolkata,2014,53000,2,Diesel,2,Manual,1,First,17.8,1248,75,5,3.3
Maruti Swift VDI,8,Delhi,2013,65650,2,Diesel,2,Manual,1,First,28.4,1248,74,5,3.85
Hyundai Grand i10 Sportz,3,Chennai,2015,54000,3,Petrol,2,Manual,3,Third,18.9,1197,82,5,3.6
Volkswagen Vento 2013-2015 1.6 Comfortline,11,Kolkata,2015,39000,3,Petrol,2,Manual,1,First,15.04,1598,103.2,5,3.99
Renault KWID RXT,7,Kochi,2017,16542,3,Petrol,2,Manual,1,First,25.17,799,53.3,5,3.3
Hyundai i10 Asta,11,Kolkata,2010,32000,3,Petrol,2,Manual,1,First,20.36,1197,78.9,5,2.07
Nissan X-Trail SLX AT,5,Hyderabad,2010,121812,2,Diesel,1,Automatic,1,First,13.29,1995,147.6,5,7.75
Maruti Zen Estilo VXI BSIII,5,Hyderabad,2010,39300,3,Petrol,2,Manual,1,First,18.2,998,67.1,5,2.25
Toyota Innova ysta 2.4 GX MT 8S,1,Mumbai,2017,22000,2,Diesel,2,Manual,1,First,13.68,2393,147.8,8,16.5
Ford Figo Diesel Titanium,9,Bangalore,2010,72000,2,Diesel,2,Manual,1,First,20,1399,68,5,2.75
Mercedes-Benz New C-Class C 200 CGI Avantgarde,8,Delhi,2015,58000,3,Petrol,1,Automatic,1,First,11.74,1796,186,5,26.7
Mercedes-Benz New C-Class 200 CDI Classic,2,Pune,2011,65000,2,Diesel,2,Manual,2,Second,15.8,2148,170,5,10
Tata Indica V2 eLS,3,Chennai,2016,178000,2,Diesel,2,Manual,1,First,25,1396,69,5,2.5
Audi A4 2.0 TDI Multitronic,6,Jaipur,2012,65664,2,Diesel,1,Automatic,1,First,16.55,1968,140,5,13.5
Honda City ZX CVT,1,Mumbai,2007,63000,3,Petrol,1,Automatic,2,Second,16.4,1497,78,5,1.85
Mercedes-Benz C-Class Progressive C 220d,4,Coimbatore,2019,15369,2,Diesel,1,Automatic,1,First,0,1950,194,5,35.67
Maruti Ertiga SHVS VDI,2,Pune,2016,63000,2,Diesel,2,Manual,1,First,24.52,1248,88.5,7,8.15
Hyundai eta 1.4 E Plus Diesel,1,Mumbai,2018,13000,2,Diesel,2,Manual,1,First,22.1,1396,88.7,5,10.5
Porsche Cayenne 2009-2014 Turbo,1,Mumbai,2008,73000,3,Petrol,1,Automatic,1,First,8.5,4806,500,5,14.5
Mahindra XUV500 W8 4WD,1,Mumbai,2015,55729,2,Diesel,2,Manual,1,First,15.1,2179,140,7,9.65
Hyundai i10 Sportz 1.2 AT,7,Kochi,2012,45178,3,Petrol,1,Automatic,1,First,16.95,1197,78.9,5,3.48
Nissan Terrano XV D Pre,7,Kochi,2015,56066,2,Diesel,2,Manual,1,First,19.64,1461,108.5,5,6.92
Honda Brio VX AT,4,Coimbatore,2016,37300,3,Petrol,1,Automatic,2,Second,16.5,1198,86.8,5,6.46
Audi A6 2.0 TDI Design Edition,8,Delhi,2014,56000,2,Diesel,1,Automatic,2,Second,18.53,1968,187.74,5,29.5
Ford Fiesta 1.4 SXi TDCi,6,Jaipur,2008,111111,2,Diesel,2,Manual,1,First,17.8,1399,null,5,2
Toyota Innova 2.0 G1,3,Chennai,2006,230000,3,Petrol,2,Manual,3,Third,12.4,1998,132,8,4.5
Toyota Innova 2.5 VX 7 STR BSIV,5,Hyderabad,2012,104000,2,Diesel,2,Manual,1,First,12.8,2494,102,7,11.75
Hyundai Santro Xing XL,5,Hyderabad,2005,87591,3,Petrol,2,Manual,1,First,0,1086,null,5,1.3
Maruti Swift VDI,6,Jaipur,2012,95100,2,Diesel,2,Manual,1,First,22.9,1248,74,5,3.75
Tata Zest Revotron 1.2T XE,2,Pune,2017,70000,3,Petrol,2,Manual,1,First,17.57,1193,88.7,5,4.5
Honda Amaze SX i-VTEC,7,Kochi,2016,54944,3,Petrol,2,Manual,1,First,18,1198,86.7,5,4.82
Ford Figo Diesel ZXI,5,Hyderabad,2012,70337,2,Diesel,2,Manual,1,First,20,1399,68,5,2.8
Maruti Ritz VDi,6,Jaipur,2013,99638,2,Diesel,2,Manual,1,First,23.2,1248,73.94,5,3.11
Honda City i VTEC E,8,Delhi,2009,52000,3,Petrol,2,Manual,1,First,17.8,1497,117.3,5,3.25
BMW 5 Series 2003-2012 525d,8,Delhi,2011,75000,2,Diesel,1,Automatic,2,Second,16.73,1995,218,5,13.9
Hyundai i10 Sportz 1.2,2,Pune,2009,95980,3,Petrol,2,Manual,1,First,20.36,1197,78.9,5,2.25
Hyundai Grand i10 Sportz,9,Bangalore,2016,16000,3,Petrol,2,Manual,1,First,18.9,1197,82,5,5.75
Hyundai Santro Xing XO,5,Hyderabad,2007,73745,3,Petrol,2,Manual,1,First,17,1086,null,5,2.1
Honda Amaze SX i-VTEC,1,Mumbai,2016,18949,3,Petrol,2,Manual,1,First,17.8,1198,86.7,5,5
Toyota Fortuner 4x2 Manual,8,Delhi,2014,107000,2,Diesel,2,Manual,1,First,13,2982,168.5,7,16.5
Audi A6 2011-2015 35 TDI Premium,4,Coimbatore,2018,48367,2,Diesel,1,Automatic,1,First,17.68,1968,174.33,5,39.58
Ford Ecosport 1.5 DV5 MT Titanium Optional,8,Delhi,2013,57000,2,Diesel,2,Manual,1,First,22.7,1498,89.84,5,5.5
Mahindra XUV500 W8 2WD,8,Delhi,2014,58000,2,Diesel,2,Manual,1,First,15.1,2179,140,7,8.1
Honda Amaze SX i-DTEC,11,Kolkata,2015,30000,2,Diesel,2,Manual,1,First,25.8,1498,98.6,5,3.5
Volkswagen Polo Diesel Highline 1.2L,11,Kolkata,2013,34212,2,Diesel,2,Manual,1,First,22.07,1199,73.9,5,2.79
Hyundai Verna Transform SX VGT Di,10,Ahmedabad,2010,70002,2,Diesel,2,Manual,1,First,16.2,1493,110,5,3.45
Maruti Wagon R VXI BS IV,9,Bangalore,2016,62000,3,Petrol,2,Manual,1,First,18.9,998,67.1,5,4.45
Volkswagen Polo Petrol Highline 1.6L,8,Delhi,2010,62001,3,Petrol,2,Manual,1,First,15.26,1598,103.5,5,2.65
Hyundai i20 1.4 Di Sportz,2,Pune,2011,78958,2,Diesel,2,Manual,2,Second,23,1396,90,5,3.8
Hyundai i20 Asta 1.2,1,Mumbai,2014,30180,3,Petrol,2,Manual,1,First,18.5,1197,82.85,5,4.65
Datsun GO Plus T Petrol,2,Pune,2017,32851,3,Petrol,2,Manual,1,First,19.83,1198,67,7,3.95
Audi A4 3.0 TDI Quattro Premium,11,Kolkata,2010,30000,2,Diesel,1,Automatic,1,First,14.94,2967,241.4,5,9.8
Hyundai i20 2015-2017 Asta,2,Pune,2009,66000,3,Petrol,2,Manual,2,Second,17,1197,80,5,2.7
Maruti Omni 5 Str STD,4,Coimbatore,2010,93850,3,Petrol,2,Manual,1,First,14,796,35,5,2.41
Toyota Etios Liva 1.2 G,10,Ahmedabad,2014,53000,3,Petrol,2,Manual,1,First,17.71,1197,78.9,5,3.9
Jaguar XF 3.0 Litre S Premium Luxury,5,Hyderabad,2011,78000,2,Diesel,1,Automatic,2,Second,14.74,2993,270.9,5,24
Mahindra XUV500 W8 2WD,8,Delhi,2012,65000,2,Diesel,2,Manual,2,Second,16,2179,140,7,5.75
Hyundai Verna 1.6 SX DI (O) AT,11,Kolkata,2014,40000,2,Diesel,1,Automatic,1,First,22.32,1582,126.32,5,5.25
Toyota Innova ysta 2.8 ZX AT,1,Mumbai,2017,30000,2,Diesel,1,Automatic,1,First,11.36,2755,171.5,7,19.25
Maruti Eeco 5 Seater AC,4,Coimbatore,2017,38053,3,Petrol,2,Manual,1,First,15.1,1196,73,5,3.91
Tata Nano Twist XT,9,Bangalore,2014,25500,3,Petrol,2,Manual,1,First,25.4,624,37.5,4,2.15
BMW 3 Series 320d Luxury Line,1,Mumbai,2015,56087,2,Diesel,1,Automatic,1,First,22.69,1995,190,5,20.75
Honda Civic 2006-2010 1.8 V MT,8,Delhi,2010,71088,3,Petrol,2,Manual,1,First,13.5,1799,130,5,3.35
Toyota Innova 2.5 VX (Diesel) 7 Seater,10,Ahmedabad,2014,55000,2,Diesel,2,Manual,1,First,12.99,2494,100.6,7,11.11
Volvo V40 oss Country D3,9,Bangalore,2014,32700,2,Diesel,1,Automatic,1,First,23.3,1984,150,5,20
Nissan Mia XV CVT,4,Coimbatore,2016,39882,3,Petrol,1,Automatic,1,First,19.15,1198,75.94,5,6.55
BMW 5 Series 2010-2013 525i,1,Mumbai,2009,128000,3,Petrol,1,Automatic,1,First,10.8,2497,215,5,7
Maruti Vitara Brezza VDi,1,Mumbai,2016,55000,2,Diesel,2,Manual,1,First,24.3,1248,88.5,5,7.5
Hyundai Santro Xing XL eRLX Euro III,1,Mumbai,2005,102000,3,Petrol,2,Manual,2,Second,17,1086,null,5,0.85
Mercedes-Benz B Class B200 CDI,2,Pune,2014,53753,2,Diesel,1,Automatic,2,Second,15,2143,107.3,5,16.75
Hyundai Verna Di 1.6 SX Option,11,Kolkata,2018,10250,2,Diesel,2,Manual,1,First,22,1582,126.2,5,10.95
Maruti Wagon R LXI BS IV,2,Pune,2011,43874,3,Petrol,2,Manual,1,First,18.9,998,67.1,5,2.45
Tata Nano XTA,4,Coimbatore,2017,32684,3,Petrol,1,Automatic,1,First,21.9,624,37.48,4,3.23
Mahindra Scorpio VLX,11,Kolkata,2014,42000,2,Diesel,2,Manual,1,First,12.05,2179,120,8,7.75
Mercedes-Benz New C-Class 200 K AT,11,Kolkata,2009,28352,3,Petrol,1,Automatic,1,First,11.7,1796,178,5,9.35
Maruti Wagon R LXI CNG,2,Pune,2013,89900,1,CNG,2,Manual,1,First,26.6,998,58.16,5,3.25
Honda -V 2.4 MT,9,Bangalore,2007,47700,3,Petrol,2,Manual,2,Second,10.8,2354,152,5,5.25
Volkswagen Vento 1.5 TDI Comfortline AT,2,Pune,2015,55000,2,Diesel,1,Automatic,1,First,21.21,1498,103.2,5,7.25
Maruti Ciaz VXi Plus,7,Kochi,2017,44285,3,Petrol,2,Manual,1,First,20.73,1373,91.1,5,7.47
Mahindra XUV500 AT W10 FWD,6,Jaipur,2016,54000,2,Diesel,1,Automatic,1,First,16,2179,140,7,13.25
Maruti Ritz VXI ABS,4,Coimbatore,2016,30232,3,Petrol,2,Manual,1,First,21.1,1197,85.8,5,5.81
Maruti Alto K10 VXI,5,Hyderabad,2014,88500,3,Petrol,2,Manual,1,First,24.07,998,67.1,5,2.6
Mercedes-Benz SLC 43 AMG,11,Kolkata,2017,13372,3,Petrol,1,Automatic,1,First,19,2996,362.07,2,54
Hyundai Verna VTVT 1.6 AT SX Plus,7,Kochi,2019,12645,3,Petrol,1,Automatic,1,First,17,1591,121.3,5,11.5
Maruti Alto LXi BSIII,3,Chennai,2010,94385,3,Petrol,2,Manual,2,Second,19.7,796,46.3,5,1.6
BMW 1 Series 118d Base,4,Coimbatore,2015,31821,2,Diesel,1,Automatic,1,First,20.58,1995,143,5,17.22
Honda Jazz 1.2 V CVT i VTEC,1,Mumbai,2015,12000,3,Petrol,1,Automatic,1,First,19,1199,88.7,5,6
Honda Civic 2006-2010 1.8 V MT,8,Delhi,2012,88578,3,Petrol,2,Manual,1,First,13.5,1799,130,5,3.95
Mercedes-Benz New C-Class C 220 CDI Avantgarde,7,Kochi,2014,44965,2,Diesel,1,Automatic,1,First,19.27,2143,170,5,17.95
Honda Amaze SX i-DTEC,11,Kolkata,2014,45044,2,Diesel,2,Manual,1,First,25.8,1498,98.6,5,3.7
Maruti Swift VVT VXI,7,Kochi,2016,34204,3,Petrol,2,Manual,1,First,22,1197,81.8,5,5.43
Hyundai Santro Xing XO eRLX Euro II,7,Kochi,2008,80759,3,Petrol,2,Manual,3,Third,17,1086,null,5,1.67
Toyota Fortuner 3.0 Diesel,4,Coimbatore,2012,91235,2,Diesel,2,Manual,1,First,11.5,2982,171,7,13.49
Chevrolet Beat LT Option,2,Pune,2014,38800,3,Petrol,2,Manual,1,First,18.6,1199,76.8,5,2.85
Skoda Rapid 1.5 TDI Elegance,3,Chennai,2013,83000,2,Diesel,2,Manual,1,First,21.14,1498,103.52,5,4.75
Maruti Ciaz 1.4 Alpha,7,Kochi,2018,41283,3,Petrol,2,Manual,1,First,20.73,1373,91.1,5,9.9
Audi RS5 Coupe,1,Mumbai,2013,23000,3,Petrol,1,Automatic,1,First,11.05,2894,444,4,37
BMW 3 Series Luxury Line,1,Mumbai,2014,48000,2,Diesel,1,Automatic,1,First,21.76,1995,190,5,26.5
Audi A4 2.0 TDI 177 Premium Plus,4,Coimbatore,2015,48214,2,Diesel,1,Automatic,1,First,17.11,1968,174.33,5,23.32
Maruti Swift VDI,3,Chennai,2016,35000,2,Diesel,2,Manual,1,First,22.9,1248,74,5,6.25
Mercedes-Benz S Class 2005 2013 S 500,11,Kolkata,2010,35277,3,Petrol,1,Automatic,1,First,7.81,5461,362.9,5,30
Skoda Rapid 1.5 TDI AT Elegance Plus Black Package,4,Coimbatore,2016,54620,2,Diesel,1,Automatic,1,First,21.66,1498,103.52,5,9.86
Skoda Superb Elegance 2.0 TDI  AT,2,Pune,2012,136997,2,Diesel,1,Automatic,1,First,17.2,1968,138.1,5,8.5
Hyundai EON Magna Plus,7,Kochi,2019,14322,3,Petrol,2,Manual,1,First,21.1,814,55.2,5,4.23
Volkswagen Polo Diesel Trendline 1.2L,6,Jaipur,2012,65634,2,Diesel,2,Manual,1,First,22.07,1199,73.9,5,3.5
Datsun GO NXT,11,Kolkata,2016,6000,3,Petrol,2,Manual,1,First,20.63,1198,67.06,5,2.5
Honda Brio S MT,11,Kolkata,2013,33280,3,Petrol,2,Manual,1,First,19.4,1198,86.8,5,2.39
Mercedes-Benz B Class B180,8,Delhi,2013,29000,3,Petrol,1,Automatic,1,First,14.8,1595,120.7,5,11.25
Honda City i DTEC V,7,Kochi,2015,42831,2,Diesel,2,Manual,1,First,26,1498,98.6,5,7.11
Toyota Innova 2.5 G (Diesel) 7 Seater,10,Ahmedabad,2016,90000,2,Diesel,2,Manual,1,First,12.99,2494,100.6,7,10.9
Maruti Swift VXI Optional,10,Ahmedabad,2017,24005,3,Petrol,2,Manual,1,First,20.4,1197,81.8,5,6.2
Mahindra XUV500 W8 2WD,1,Mumbai,2012,32792,2,Diesel,2,Manual,1,First,15.1,2179,140,7,7.9
Ford Ecosport 1.5 DV5 MT Ambiente,7,Kochi,2014,147898,2,Diesel,2,Manual,1,First,22.7,1498,89.84,5,4.42
Toyota Fortuner 4x2 Manual,1,Mumbai,2012,131765,2,Diesel,2,Manual,1,First,13,2982,168.5,7,13.5
Volkswagen Vento 1.5 Highline Plus AT 16 Alloy,3,Chennai,2013,65000,2,Diesel,1,Automatic,1,First,21.5,1498,108.5,5,6.25
Ford Figo Diesel Titanium,6,Jaipur,2010,66123,2,Diesel,2,Manual,2,Second,20,1399,68,5,2.1
BMW X5 xDrive 30d,1,Mumbai,2015,41000,2,Diesel,1,Automatic,1,First,15.3,2993,258,5,45
Mercedes-Benz New C-Class C 220 CDI Style,4,Coimbatore,2017,23550,2,Diesel,1,Automatic,1,First,19.27,2143,167.62,5,33.66
Honda Brio V MT,9,Bangalore,2012,45000,3,Petrol,2,Manual,2,Second,19.4,1198,86.8,5,3.65
Hyundai i10 Magna 1.2,8,Delhi,2013,60000,3,Petrol,2,Manual,1,First,20.36,1197,78.9,5,2.75
Mercedes-Benz GLC 220,9,Bangalore,2016,44414,2,Diesel,1,Automatic,1,First,17.9,2143,170,5,42.5
Hyundai Grand i10 1.2 Kappa Asta,11,Kolkata,2019,1000,3,Petrol,2,Manual,1,First,18.9,1197,81.86,5,6.5
Audi A6 2011-2015 2.0 TDI Premium Plus,1,Mumbai,2012,62500,2,Diesel,1,Automatic,2,Second,17.68,1968,174.33,5,19
Volkswagen Vento Petrol Highline AT,1,Mumbai,2013,21000,3,Petrol,1,Automatic,2,Second,14.4,1598,103.6,5,4.45
Mini Countryman Cooper D,6,Jaipur,2017,8525,2,Diesel,1,Automatic,2,Second,16.6,1998,112,5,23
Hyundai i20 Asta 1.4 Di,9,Bangalore,2014,29000,2,Diesel,2,Manual,1,First,22.54,1396,88.73,5,8.35
Audi A6 2011-2015 2.0 TDI Premium Plus,1,Mumbai,2014,40000,2,Diesel,1,Automatic,1,First,17.68,1968,174.33,5,22.95
Chevrolet Beat Diesel LT,6,Jaipur,2012,88000,2,Diesel,2,Manual,1,First,25.44,936,57.6,5,1.5
Skoda Superb Elegance 1.8 TSI AT,7,Kochi,2012,53537,3,Petrol,1,Automatic,1,First,13.7,1798,157.75,5,6.89
Ford Fiesta 1.4 TDCi EXI Limited Edition,3,Chennai,2006,216000,2,Diesel,2,Manual,2,Second,17.8,1399,68,5,1.45
BMW 5 Series 520d Luxury Line,5,Hyderabad,2014,51000,2,Diesel,1,Automatic,1,First,22.48,1995,190,5,33.5
Chevrolet Optra Magnum 1.6 LS BS3,6,Jaipur,2007,118500,3,Petrol,2,Manual,1,First,12.9,1598,102.5,5,1.25
Volkswagen Polo Diesel Highline 1.2L,5,Hyderabad,2012,63000,2,Diesel,2,Manual,1,First,22.07,1199,73.9,5,4.2
Renault Lodgy 110PS RxZ 8 Seater,1,Mumbai,2015,25000,2,Diesel,2,Manual,1,First,19.98,1461,108.5,8,6.75
Mercedes-Benz E-Class E250 CDI Avantgrade,9,Bangalore,2014,37382,2,Diesel,1,Automatic,1,First,13,2143,201.1,5,32
Maruti Baleno Alpha,7,Kochi,2017,24773,3,Petrol,2,Manual,1,First,21.4,1197,83.1,5,7.5
Hyundai Verna 1.6 SX,8,Delhi,2012,62000,2,Diesel,2,Manual,1,First,22.32,1582,126.32,5,4.6
Hyundai i10 Magna 1.1,7,Kochi,2017,52340,3,Petrol,2,Manual,1,First,19.81,1086,68.05,5,4.04
Mahindra Scorpio 1.99 S10 4WD,7,Kochi,2016,56739,2,Diesel,2,Manual,1,First,15.4,1997,120,7,10.31
Land Rover Range Rover 2.2L Dynamic,4,Coimbatore,2018,36091,2,Diesel,1,Automatic,1,First,12.7,2179,187.7,5,55.76
Ford Figo Diesel ZXI,3,Chennai,2010,120000,2,Diesel,2,Manual,1,First,20,1399,68,5,2.6
Maruti Ertiga ZDI,1,Mumbai,2016,33000,2,Diesel,2,Manual,1,First,25.47,1248,88.5,7,8.5
Honda City 1.5 GXI,10,Ahmedabad,2007,60006,3,Petrol,2,Manual,1,First,0,,,,2.95
Honda Amaze S i-Dtech,11,Kolkata,2014,52000,2,Diesel,2,Manual,1,First,25.8,1498,98.6,5,3.5
Hyundai i10 Magna,6,Jaipur,2015,43571,3,Petrol,2,Manual,1,First,20.36,1197,78.9,5,3.55
Honda Amaze S i-Dtech,11,Kolkata,2013,50000,2,Diesel,2,Manual,1,First,25.8,1498,98.6,5,3.25
Skoda Laura Ambiente,5,Hyderabad,2008,113000,2,Diesel,2,Manual,1,First,17.5,1896,106,5,4.5
Renault Duster 85PS Diesel RxL,8,Delhi,2014,90000,2,Diesel,2,Manual,1,First,19.87,1461,83.8,5,5.35
Mahindra NuvoSport N6,3,Chennai,2017,29000,2,Diesel,2,Manual,2,Second,17.45,1493,100,7,6.5
Maruti Vitara Brezza ZDi Plus Dual Tone,1,Mumbai,2016,20000,2,Diesel,2,Manual,1,First,24.3,1248,88.5,5,9
Hyundai i20 Asta Option 1.2,7,Kochi,2016,61012,3,Petrol,2,Manual,1,First,18.6,1197,81.83,5,6
Skoda Fabia 1.4 MPI Ambiente,6,Jaipur,2009,87459,3,Petrol,2,Manual,1,First,14.7,1390,85,5,2.75
Tata Indigo eCS GLX,2,Pune,2010,70500,3,Petrol,2,Manual,1,First,15.64,1193,64.1,5,1.5
Audi Q3 2012-2015 35 TDI Quattro Premium Plus,8,Delhi,2015,64103,2,Diesel,1,Automatic,1,First,15.73,1968,174.33,5,19.9
Skoda Octavia Elegance 1.8 TSI AT,1,Mumbai,2014,76000,3,Petrol,1,Automatic,1,First,14.7,1798,177.5,5,10
Toyota Etios Liva GD SP,8,Delhi,2014,104000,2,Diesel,2,Manual,1,First,23.59,1364,67.06,5,3
Maruti Swift 1.3 VXi,11,Kolkata,2010,42001,3,Petrol,2,Manual,1,First,16.1,,,,2.11
Mercedes-Benz B Class B180,7,Kochi,2014,37245,3,Petrol,1,Automatic,1,First,14.8,1595,120.7,5,11.96
Honda Amaze S Diesel,11,Kolkata,2013,45000,2,Diesel,2,Manual,1,First,27.4,1498,98.6,5,3.25
Hyundai Verna 1.6 SX,6,Jaipur,2012,117837,2,Diesel,2,Manual,2,Second,22.32,1582,126.32,5,4.75
Renault Duster 85PS Diesel RxL Optional,1,Mumbai,2014,30000,2,Diesel,2,Manual,1,First,20.46,1461,83.8,5,5.95
